AWCC--Afghanistan,Afghanistan,93,70
Etisalat(AFGHANISTAN)--Afghanistan,Afghanistan,93,78
MTN(AFGHANISTAN)--Afghanistan,Afghanistan,93,77
Roshan--Afghanistan,Afghanistan,93,79
Roshan--Afghanistan,Afghanistan,93,72
ALBtelecom sh.a.,Albania,355,67
Albania Mobile (AMC)--Albania,Albania,355,68
Plus--Albania,Albania,355,66
Vodafone(ALBANIA)--Albania,Albania,355,69
ATM Mobilis (AMN)--Algeria,Algeria,213,699
ATM Mobilis (AMN)--Algeria,Algeria,213,659
ATM Mobilis (AMN)--Algeria,Algeria,213,66
ATM Mobilis (AMN)--Algeria,Algeria,213,670
ATM Mobilis (AMN)--Algeria,Algeria,213,696
ATM Mobilis (AMN)--Algeria,Algeria,213,697
ATM Mobilis (AMN)--Algeria,Algeria,213,698
Djezzy (Orascom)--Algeria,Algeria,213,781
Djezzy (Orascom)--Algeria,Algeria,213,77
Djezzy (Orascom)--Algeria,Algeria,213,770
Djezzy (Orascom)--Algeria,Algeria,213,780
Djezzy (Orascom)--Algeria,Algeria,213,79
Wataniya(ALGERIA)--Algeria,Algeria,213,5
Wataniya(ALGERIA)--Algeria,Algeria,213,50
Mobiland/STA--Andorra,Andorra,376,3
Mobiland/STA--Andorra,Andorra,376,5
Mobiland/STA--Andorra,Andorra,376,6
Unitel(ANGOLA)--Angola,Angola,376,94
Unitel(ANGOLA)--Angola,Angola,376,92
Unitel(ANGOLA)--Angola,Angola,376,93
Claro/CTI Movil--Argentina,Argentina,54,9
Claro/CTI Movil--Argentina,Argentina,54,2
Claro/CTI Movil--Argentina,Argentina,54,1
Claro/CTI Movil--Argentina,Argentina,54,3
Claro/CTI Movil--Argentina,Argentina,54,320
Telefonica Moviles Argentina,Argentina,54,2264
Telefonica Moviles Argentina,Argentina,54,11
Telefonica Moviles Argentina,Argentina,54,220
Telefonica Moviles Argentina,Argentina,54,2202
Telefonica Moviles Argentina,Argentina,54,221
Telefonica Moviles Argentina,Argentina,54,2221
Telefonica Moviles Argentina,Argentina,54,2223
Telefonica Moviles Argentina,Argentina,54,2224
Telefonica Moviles Argentina,Argentina,54,2225
Telefonica Moviles Argentina,Argentina,54,2226
Telefonica Moviles Argentina,Argentina,54,2227
Telefonica Moviles Argentina,Argentina,54,2229
